name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_0,21.86034393310547,19.32726287841797,84.67135620117188,236.73568725585938,5738.6796875,158.90924117917157,-48.80933968491844,10.0,True,52.984161528648514,118.24600576012743,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.7575340270996094, 99.57868957519531, 127.46578979492188, 118.11573791503906, 121.73033142089844","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.1791874934643496, 3.9442055226575654, 3.0051050697990345, 1.0287840996244475, 0.23010028395252144"
WALLABY_J103538-484832_BS_1,21.83004379272461,19.457857131958008,81.0337142944336,245.92437744140625,5736.685546875,158.90932924572058,-48.80912389813965,10.0,True,51.35547509758635,118.13030108951017,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","69.11196899414062, 109.75728607177734, 127.51690673828125, 117.39488220214844, 143.51528930664062","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.554968452736112, 5.1526638310936645, 3.79444692945376, 0.7810615329387619, 0.03238407572296066"
WALLABY_J103538-484832_BS_2,21.917156219482422,19.475830078125,82.13619232177734,245.57223510742188,5738.24658203125,158.90911038609266,-48.809088955713044,10.0,True,47.81785546223143,84.94671716458905,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","37.05331039428711, 107.21417236328125, 125.62937927246094, 66.77580261230469, 150.44125366210938","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","0.8774243724608641, 6.152164842353618, 2.9861819192131827, 0.11287167384428555, 0.13766687509627304"
WALLABY_J103538-484832_BS_3,21.981426239013672,19.19085693359375,80.95907592773438,244.62246704101562,5740.83447265625,158.9089228888076,-48.809559935485396,10.0,True,58.60680888804454,105.68704148976634,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.7338054180145264, 124.54257202148438, 105.60063171386719, 133.35365295410156, 66.08439636230469","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","1.4840754713870365, 4.32291238126358, 2.2779731335286884, 1.6217057101999077, 0.11007567202429572"
WALLABY_J103538-484832_BS_4,21.915145874023438,19.550817489624023,76.57401275634766,247.60513305664062,5737.1015625,158.90912201663247,-48.808964166499145,10.0,True,50.61432228825614,139.47008656379276,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.3756890296936035, 107.42823791503906, 127.99447631835938, 141.06640625, 133.25247192382812","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","0.06962367691444285, 4.8117463936074945, 3.6593852463160124, 0.6300650744397092, 0.5942893651557957"
WALLABY_J103538-484832_BS_5,21.608749389648438,19.427845001220703,76.45955657958984,242.43789672851562,5736.2763671875,158.90988658776405,-48.80918660192701,10.0,True,50.070256914123114,161.69581923168647,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","34.54214096069336, 120.67269897460938, 119.50838470458984, 169.6376953125, 144.93402099609375","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.0032151247426095, 3.897410093326809, 4.225742292672164, 0.3927470147399675, 0.05275889789273938"
WALLABY_J103538-484832_BS_6,22.03323745727539,19.32905387878418,67.31159973144531,239.70919799804688,5739.369140625,158.90880384639865,-48.809326766799764,10.0,True,47.67298275961443,128.42841629408235,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","25.23590850830078, 119.81985473632812, 130.81375122070312, 127.31405639648438, 134.52142333984375","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.3785049668999463, 5.866266741696062, 3.0765503649367734, 0.02989537183938894, 0.4227216170682587"
WALLABY_J103538-484832_BS_7,21.958097457885742,19.369585037231445,85.63909149169922,243.23568725585938,5740.53955078125,158.90899751738024,-48.80926357296185,10.0,True,49.286798813147776,97.27573471164769,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","19.737163543701172, 110.82140350341797, 122.51010131835938, 90.53897094726562, 157.24874877929688","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.1246019986979414, 4.5291547092977815, 4.040062630051917, 0.18840111635143614, 0.1250230123186751"
WALLABY_J103538-484832_BS_8,21.843149185180664,19.377506256103516,81.70506286621094,247.759033203125,5737.92529296875,158.9092890728263,-48.80925698368788,10.0,True,50.017348308252224,95.85590238150101,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","29.277400970458984, 102.19035339355469, 124.17808532714844, 90.38239288330078, 115.5797119140625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.3091763186437637, 3.1378030707817772, 4.526607220308531, 0.31845231867105356, 0.17137205832579042"
WALLABY_J103538-484832_BS_9,21.776792526245117,19.40041732788086,78.55217742919922,250.1480712890625,5737.6904296875,158.90945898023853,-48.809222633770034,10.0,True,50.75212980872325,127.93969477433778,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","2.9271559715270996, 104.73319244384766, 125.26300048828125, 128.28042602539062, 106.17759704589844","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","1.3405320771830536, 4.75285552658248, 3.7243570122184053, 0.6532014963668629, 0.19107148336938287"
